id,P,F,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,C,C,1,1,1,3.625,5,3.75,2.625,1.375,1.625,1.625,2.375
2,C,C,1,1,1,4.625,5.25,4.875,4,2.625,1.875,2.375,2.25
3,C,C,1,1,1.125,4.375,4.625,4.375,2.75,2.125,2.625,3,3.375
4,C,C,1,1,1.25,3.5,5.125,3.75,2.75,3.125,3,3.75,3.625
5,C,C,1,1,1,3.25,6.125,6,4.75,2.25,2.25,2,1.75
6,C,C,1,1,0.875,2.375,5.125,5.5,4.375,2.25,2.75,2.375,2.375
7,C,M,1,1,1,1.25,1.5,1,1.125,0.75,0.25,0,0
8,C,M,1,1,0.75,1,1.375,0.25,0.125,0.125,0,0,0
9,C,M,1,1,0.875,1.125,1.5,0.75,0.875,0.625,0.25,0,0
10,C,M,1,1,0.375,0.625,0.75,0.75,0.75,0.25,0.125,0.125,0.125
11,C,M,1,1,0.75,0.375,0.5,0.375,0.25,0.25,0,0,0
12,C,M,1,1,0.875,1.125,2,0.625,0.375,0.375,0.25,0.125,0.25
13,M,C,1,1,0.5,0.375,0.375,0.125,0,0,0,0,0
14,M,C,1,1,0.625,0.25,0,0,0,0,0,0,0
15,M,C,1,1,0.625,0.5,0.125,0,0,0,0,0,0
16,M,C,1,1,0.75,0.375,0,0,0,0,0,0,0
17,M,C,1,1,0.5,0.25,0,0,0,0,0,0,0
18,M,C,1,1,0.5,0.375,0,0,0,0,0,0,0
19,M,M,1,1,0.625,0.25,0.125,0.125,0,0,0,0,0
20,M,M,1,1,1.125,0.5,0.25,0.125,0,0,0,0,0
21,M,M,1,1,1,0.75,0.375,0.25,0,0,0,0,0
22,M,M,1,1,0.75,0.625,0.125,0,0,0,0,0,0
23,M,M,1,1,0.875,0.5,0.25,0.375,0.25,0.125,0,0,0
24,M,M,1,1,0.75,0.375,0.125,0.125,0,0,0,0,0
