id,P,F,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,
1,C,C,NA,NA,0,0.166666667,0.25,0.555555556,0.571428571,0.4,0,0,0,
2,C,C,NA,NA,NA,0,0.307692308,0.4,0.545454545,0.666666667,0.166666667,0.25,0,
3,C,C,NA,NA,0,0.090909091,0.333333333,0.4,0.5,0.285714286,0.2,0,0,
4,C,C,NA,NA,0,0,0.538461538,0.222222222,0.181818182,0.333333333,0.230769231,0.571428571,0.6,
5,C,C,NA,NA,0,0,0.421052632,0.4,0.166666667,0.625,0.875,0.2,0,
6,C,C,NA,NA,NA,0,0.1,0.357142857,0.090909091,0,0.285714286,0.25,0.125,
7,C,M,NA,NA,0,0,0.2,0.25,0,0,NA,NA,NA,
8,C,M,NA,NA,NA,0.25,0.5,0,NA,NA,NA,NA,NA,
9,C,M,NA,NA,NA,0,0.25,0,0.5,0,NA,NA,NA,
10,C,M,NA,NA,NA,0,0.5,0,NA,NA,NA,NA,NA,
11,C,M,NA,NA,NA,0,0.333333333,0,NA,NA,NA,NA,NA,
12,C,M,NA,NA,NA,0,0.4,NA,NA,1,NA,0,0,
13,M,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,M,C,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,
15,M,C,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,
16,M,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,M,C,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,
18,M,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,M,M,NA,NA,0,0,NA,NA,NA,NA,NA,NA,,
20,M,M,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
21,M,M,NA,NA,0,0.333333333,1,NA,NA,NA,NA,NA,NA,
22,M,M,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
23,M,M,NA,NA,NA,0.5,0,0.5,NA,NA,NA,NA,NA,
24,M,M,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,
