id,P,F,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
1,C,C,0,0,0,0,0.5,1.4,1,0.75,0.75,0,0,0
2,C,C,0,0,0,0,0,0.8,1.2,1.25,2,1,0,0
3,C,C,0,0,0,0,0.2,1,0.6,0.666666667,0.333333333,0,0,0
4,C,C,0,0,0,0,0,1.2,1.25,0.75,1,0,0,0
5,C,C,0,0,0,0,0.166666667,1,0.6,0.333333333,0,0,0,0
6,C,C,0,0,0,0,0.2,1.25,1,1,0,0,0,0
7,C,M,0,0,0,0,0.25,1,1,0.5,0,0,0,0
8,C,M,0,0,0,0,0.75,0.25,0,0,0,0,0,0
9,C,M,0,0,0,0,1.25,0.666666667,0.666666667,0,0,0,0,0
10,C,M,0,0,0,0,0.5,1,1,0.5,0,0,0,0
11,C,M,0,0,0,0,0,1,0.75,0.5,0,0,0,0
12,C,M,0,0,0,0,0.25,0.75,0.666666667,0.333333333,0,0,0,0
13,M,C,0,0,0,0,0.5,0.5,0,0,0,0,0,0
14,M,C,0,0,0,0,0,0.3333,1,0,0,0,0,0
15,M,C,0,0,0,0,0,1,0.666666667,0,0,0,0,0
16,M,C,0,0,0,0,0.25,0.5,0,0,0,0,0,0
17,M,C,0,0,0,0,0,0.666666667,0.5,0,0,0,0,0
19,M,M,0,0,0,0,0,0.75,0.75,0.333333333,0,0,0,0
20,M,M,0,0,0,0,0,0.5,0.3333,0.5,0,0,0,0
21,M,M,0,0,0,0,0,0.333333333,1,0,0,0,0,0
22,M,M,0,0,0,0,0,0.4,1,1,0,0,0,0
23,M,M,0,0,0,0,0,0,0.75,0.5,0,0,0,0
