T,P,F,time
4.60469153,C,C,55.25629836
5.545746093,C,C,66.54895312
4.664296975,C,C,55.9715637
5.057319841,C,C,60.68783809
4.363047692,C,C,52.3565723
4.623290689,C,C,55.47948827
4.414395184,C,M,52.97274221
3.261804308,C,M,39.1416517
3.630239752,C,M,43.56287702
4.251722504,C,M,51.02067005
4.610067985,C,M,55.32081582
4.41435726,C,M,52.97228712
3.356644942,M,C,40.2797393
4.682825722,M,C,56.19390866
4.40496634,M,C,52.85959608
3.687090373,M,C,44.24508448
4.351315667,M,C,52.215788
4.706603561,M,M,56.47924273
4.779466777,M,M,57.35360132
4.682794086,M,M,56.19352903
4.991279621,M,M,59.89535545
5.257321117,M,M,63.0878534
