id,P,F,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,C,C,NA,0,0.166666667,0.416666667,0.666666667,0.6,0.7,0.666666667,0.75,0.25,0.6
2,C,C,NA,0,0,0.4,0.428571429,0.333333333,0.4,0.466666667,0.666666667,0.6,0.333333333
3,C,C,NA,0,0,0.461538462,0.428571429,0.375,0.391304348,0.466666667,0.307692308,0.6,0.142857143
4,C,C,NA,0,0,0.333333333,0.352941176,0.333333333,0.526315789,0.545454545,0.5,0.444444444,0.571428571
5,C,C,NA,0,0,0.266666667,0.375,0.333333333,0.416666667,0.454545455,0.333333333,0.666666667,0.6
6,C,C,NA,0,0,0.416666667,0.285714286,0.263157895,0.466666667,0.363636364,0.3,0.416666667,0.285714286
7,C,L,NA,0,0.2,0.357142857,0.555555556,0.545454545,0.25,0.428571429,0.2,0.25,0.333333333
8,C,L,NA,0,0.25,0.4,0.5,0.545454545,0.5,0.75,0.428571429,0.75,0.5
9,C,L,NA,0,0.166666667,0.142857143,0.583333333,0.5,0.625,0.428571429,0.5,0.4,0.75
10,C,L,NA,0,0.333333333,0.3,0.4,0.428571429,0.5,0.5,0.5,0.666666667,0.75
11,C,L,NA,0,0,0.3,0.416666667,0.636363636,0.5,0.25,0.428571429,0.25,0.666666667
12,C,L,NA,0,0,0.333333333,0.444444444,0.5,0.375,0.571428571,0.25,0.666666667,1
13,L,C,NA,0,0,0.333333333,0.75,0.5,0.5,0.75,0.5,0.5,1
14,L,C,NA,0,0,0.285714286,0.142857143,0.4,0.625,0.8,0.75,0.5,NA
15,L,C,NA,0,0.333333333,0.4,0.333333333,0.5,0.333333333,0,0.5,NA,0.5
16,L,C,NA,0,0.5,0.25,0.428571429,0.4,0.8,0.666666667,0.5,0,0.666666667
17,L,C,NA,0,0,0.166666667,0.25,0.533333333,0.466666667,0.444444444,0.333333333,0.333333333,1
18,L,C,NA,0,0,0.4,0.4,0.285714286,0.333333333,0.75,0.166666667,1,0.8
19,L,L,NA,0,0,0.428571429,0.333333333,0.6,0.333333333,0,0.6,0.5,1
20,L,L,NA,0,0,0.470588235,0.555555556,0.833333333,0.5,0.5,1,0,NA
21,L,L,NA,0,0,0.4,0.538461538,0.5,0.428571429,1,0,0,0.333333333
22,L,L,NA,0,0.142857143,0.454545455,0.533333333,0.5,0.333333333,0.6,0.875,NA,0
23,L,L,NA,0,0,0.5,0.384615385,0.375,0.333333333,0.285714286,0.25,1,0.333333333
24,L,L,NA,0,0,0.333333333,0.142857143,0.333333333,0.375,0.5,1,1,0.5
