id,P,F,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
1,C,C,1,1,1,1,1,0.833333333,0.666666667,0.5,0.166666667,0,0,0,0
2,C,C,1,1,1,1,1,1,1,1,0.833333333,0.333333333,0.166666667,0,0
3,C,C,1,1,1,1,1,1,0.833333333,0.666666667,0.5,0.166666667,0,0,0
4,C,C,1,1,1,1,1,1,1,0.833333333,0.666666667,0.166666667,0.166666667,0,0
5,C,C,1,1,1,1,1,1,1,0.833333333,0.666666667,0.5,0,0,0
6,C,C,1,1,1,1,1,1,1,0.666666667,0.5,0.333333333,0.166666667,0,0
7,C,L,1,1,1,1,1,1,0.666666667,0.5,0.166666667,0,0,0,0
8,C,L,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,0.8333 ,0.5000 ,0.3333 ,0.333333333,0.166666667,0,0
9,C,L,1,1,1,1,1,1,0.833333333,0.666666667,0.333333333,0.166666667,0.166666667,0,0
10,C,L,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,0.8333 ,0.6667 ,0.1667 ,0.1667 ,0.1667 ,0.1667 ,0.0000 
11,C,L,1,1,1,1,1,1,0.666666667,0.5,0.166666667,0.166666667,0,0,0
12,C,L,1,1,1,1,1,1,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0,0
13,L,C,1,1,1,1,1,1,0.833333333,0.333333333,0.166666667,0,0,0,0
14,L,C,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,0.8333 ,0.3333 ,0.1667 ,0.0000 ,0,0
15,L,C,1,1,1,1,1,1,0.833333333,0.333333333,0.166666667,0,0,0,0
16,L,C,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,0.8333 ,0.1667 ,0.0000 ,0.0000 ,0.0000 ,0,0
17,L,C,1,1,1,1,1,1,0.833333333,0.333333333,0,0,0,0,0
18,L,C,1,1,1,1,1,1,0.833333333,0.5,0,0,0,0,0
19,L,L,1,1,1,1,1,1,0.666666667,0.5,0.5,0.333333333,0,0,0
20,L,L,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,0.833333333,0.5,0.166666667,0,0,0
21,L,L,1,1,1,1,1,1,0.833333333,0.833333333,0.666666667,0.166666667,0.166666667,0,0
22,L,L,1,1,1,1,1,1,0.666666667,0.666666667,0.333333333,0.166666667,0.166666667,0,0
23,L,L,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,0.8333 ,0.5000 ,0.1667 ,0.1667 ,0.0000 ,0,0
24,L,L,1,1,1,1,1,1,1,0.333333333,0.166666667,0.166666667,0.166666667,0,0
