V,P,F
162.6194069,M,M
170.2834936,M,M
178.7244132,M,M
185.8544052,M,M
186.0400016,M,M
186.9696441,M,M
187.6006276,M,M
187.7650388,M,M
190.5070869,M,M
194.7871233,M,M
198.2757652,M,M
201.179762,M,M
201.2506701,M,M
205.1642904,M,M
208.603863,M,M
210.802225,M,M
214.2129501,M,M
216.4360605,M,M
221.8888588,M,M
224.0190795,M,M
233.323854,M,M
233.656996,M,M
243.6436693,M,M
243.64793,M,M
256.6478554,M,M
266.2563823,M,M
270.2542229,M,M
288.8353208,M,M
290.0411694,M,M
302.3528277,M,M
169.2703363,C,M
170.3364226,C,M
172.6790553,C,M
176.7358597,C,M
177.7574826,C,M
179.2616624,C,M
179.5497009,C,M
188.2049839,C,M
188.232603,C,M
188.7512569,C,M
196.3670259,C,M
200.9396551,C,M
203.3785062,C,M
207.0548927,C,M
210.3574356,C,M
210.632871,C,M
210.9159995,C,M
215.8248345,C,M
218.4096659,C,M
220.5757739,C,M
221.5743195,C,M
224.2146098,C,M
229.7268265,C,M
230.3818746,C,M
231.1484868,C,M
233.7815611,C,M
237.654239,C,M
240.9979658,C,M
246.2868907,C,M
248.7259692,C,M
107.3190961,M,C
117.4103013,M,C
120.869111,M,C
121.2148149,M,C
128.0031716,M,C
130.0942888,M,C
135.5667183,M,C
140.9908931,M,C
141.6067804,M,C
146.6040636,M,C
151.5301375,M,C
153.624977,M,C
154.4041029,M,C
157.276825,M,C
165.9523406,M,C
166.9018725,M,C
169.8235841,M,C
172.7094785,M,C
173.1334373,M,C
174.600933,M,C
178.6839821,M,C
182.8724575,M,C
182.9235104,M,C
185.2805471,M,C
189.3410537,M,C
189.6788191,M,C
189.9333809,M,C
197.5648814,M,C
197.7291168,M,C
203.2270679,M,C
166.6729132,C,C
170.1549814,C,C
171.5469124,C,C
172.7502987,C,C
180.1730634,C,C
183.0391886,C,C
183.7769866,C,C
184.449953,C,C
189.9476389,C,C
198.5512002,C,C
201.8065708,C,C
208.457549,C,C
209.5544355,C,C
211.8662099,C,C
217.4045615,C,C
223.2317783,C,C
223.8001978,C,C
224.9331528,C,C
225.2508412,C,C
225.7267304,C,C
228.3389581,C,C
230.8584606,C,C
232.5889976,C,C
236.8171833,C,C
238.5648724,C,C
238.7617229,C,C
245.1171278,C,C
252.8517258,C,C
257.2340135,C,C
258.7009654,C,C
