time,P,F
48,C,C
84,C,C
84,C,C
108,C,C
36,C,C
120,C,C
72,C,C
84,C,C
108,C,C
48,C,C
84,C,C
132,C,C
72,C,C
96,C,C
36,C,C
72,C,C
120,C,C
120,C,C
60,C,C
84,C,C
96,C,C
48,C,C
120,C,C
132,C,C
72,C,C
72,C,C
48,C,C
96,C,C
96,C,C
120,C,C
48,C,C
72,C,C
84,C,C
36,C,C
108,C,C
120,C,C
60,C,M
84,C,M
24,C,M
24,C,M
48,C,M
120,C,M
72,C,M
36,C,M
36,C,M
96,C,M
108,C,M
132,C,M
84,C,M
72,C,M
24,C,M
24,C,M
48,C,M
108,C,M
96,C,M
84,C,M
36,C,M
36,C,M
60,C,M
72,C,M
72,C,M
72,C,M
36,C,M
48,C,M
108,C,M
120,C,M
96,C,M
84,C,M
36,C,M
36,C,M
60,C,M
108,C,M
72,M,C
60,M,C
36,M,C
36,M,C
48,M,C
48,M,C
72,M,C
36,M,C
48,M,C
48,M,C
48,M,C
60,M,C
72,M,C
48,M,C
36,M,C
36,M,C
84,M,C
84,M,C
60,M,C
24,M,C
36,M,C
72,M,C
96,M,C
108,M,C
60,M,C
36,M,C
48,M,C
48,M,C
84,M,C
96,M,C
108,M,M
72,M,M
36,M,M
48,M,M
96,M,M
132,M,M
72,M,M
36,M,M
36,M,M
60,M,M
108,M,M
120,M,M
72,M,M
60,M,M
48,M,M
48,M,M
48,M,M
96,M,M
72,M,M
84,M,M
36,M,M
36,M,M
60,M,M
120,M,M
96,M,M
96,M,M
72,M,M
72,M,M
36,M,M
36,M,M
