offspring,P,F
1,C,C
2,C,C
3,C,C
3,C,C
4,C,C
4,C,C
2,C,C
3,C,C
4,C,C
3,C,C
4,C,C
4,C,C
1,C,C
2,C,C
3,C,C
3,C,C
3,C,C
4,C,C
3,C,C
3,C,C
4,C,C
4,C,C
3,C,C
3,C,C
2,C,C
3,C,C
3,C,C
4,C,C
3,C,C
3,C,C
3,C,C
3,C,C
3,C,C
3,C,C
4,C,C
4,C,C
2,C,M
2,C,M
2,C,M
2,C,M
3,C,M
4,C,M
1,C,M
3,C,M
2,C,M
4,C,M
4,C,M
5,C,M
2,C,M
2,C,M
3,C,M
4,C,M
4,C,M
5,C,M
2,C,M
3,C,M
3,C,M
3,C,M
3,C,M
4,C,M
2,C,M
3,C,M
3,C,M
3,C,M
3,C,M
4,C,M
2,C,M
2,C,M
2,C,M
3,C,M
3,C,M
5,C,M
3,M,C
3,M,C
4,M,C
4,M,C
4,M,C
4,M,C
4,M,C
4,M,C
4,M,C
4,M,C
5,M,C
5,M,C
3,M,C
3,M,C
5,M,C
5,M,C
5,M,C
4,M,C
3,M,C
5,M,C
4,M,C
4,M,C
4,M,C
5,M,C
3,M,C
4,M,C
5,M,C
4,M,C
3,M,C
4,M,C
4,M,C
5,M,C
4,M,C
3,M,C
4,M,C
5,M,C
3,M,M
4,M,M
5,M,M
6,M,M
5,M,M
6,M,M
4,M,M
5,M,M
5,M,M
6,M,M
5,M,M
7,M,M
3,M,M
5,M,M
5,M,M
6,M,M
5,M,M
5,M,M
4,M,M
5,M,M
3,M,M
4,M,M
5,M,M
4,M,M
3,M,M
2,M,M
4,M,M
5,M,M
3,M,M
6,M,M
4,M,M
3,M,M
4,M,M
4,M,M
4,M,M
5,M,M
