spine,P,F
52.785,C,C
79.9865,C,C
95.7005,C,C
65.624,C,C
59.359,C,C
59.359,C,C
83.2935,C,C
57.612,C,C
94.0725,C,C
72.1865,C,C
72.1615,C,C
52.6315,C,C
89.5875,C,C
91.518,C,C
45.8505,C,C
66.419,C,C
65.719,C,C
66.069,C,C
51.391,C,C
43.6855,C,C
85.6615,C,C
44.8,C,C
57.443,C,C
69.817,C,C
58.604,C,C
39.16,C,C
59.2635,C,C
64.8745,C,C
0,C,C
49.114,C,C
94.3145,C,M
89.3265,C,M
53.9575,C,M
95.1295,C,M
60.932,C,M
72.1755,C,M
96.7965,C,M
58.7035,C,M
42.583,C,M
83.58,C,M
36.9185,C,M
68.062,C,M
71.7485,C,M
93.573,C,M
58.681,C,M
100.27,C,M
61.285,C,M
74.859,C,M
40.637,C,M
74.859,C,M
47.075,C,M
84.161,C,M
88.856,C,M
84.354,C,M
45.146,C,M
66.003,C,M
43.324,C,M
58.534,C,M
0,C,M
44.406,C,M
66.3555,M,C
37.5375,M,C
46.662,M,C
47.978,M,C
35.884,M,C
88.149,M,C
42.3505,M,C
69.0695,M,C
61.835,M,C
69.399,M,C
28.6005,M,C
69.9995,M,C
51.847,M,C
65.4765,M,C
0,M,C
47.0635,M,C
0,M,C
55.0255,M,C
56.493,M,C
74.856,M,C
69.888,M,C
77.951,M,C
67.849,M,C
39.2975,M,C
32.165,M,C
38.4045,M,C
37.2,M,C
44.954,M,C
33.14,M,C
98.1915,M,C
76.8605,M,M
48.654,M,M
91.8615,M,M
86.2435,M,M
100.747,M,M
74.495,M,M
59.4575,M,M
39.7065,M,M
95.944,M,M
60.9335,M,M
41.049,M,M
86.4295,M,M
87.604,M,M
99.363,M,M
50.373,M,M
85.8545,M,M
62.1105,M,M
48.846,M,M
79.1845,M,M
60.1985,M,M
38.8875,M,M
85.7115,M,M
89.021,M,M
116.9855,M,M
106.176,M,M
81.166,M,M
86.0745,M,M
96.9105,M,M
93.399,M,M
66.152,M,M
