spine,P,F
117.8555,C,C
100.572,C,C
74.928,C,C
37.3595,C,C
121.4365,C,C
69.6205,C,C
127.756,C,C
124.6055,C,C
89.524,C,C
108.321,C,C
123.769,C,C
111.6465,C,C
45.179,C,C
68.788,C,C
70.242,C,C
83.482,C,C
73.4765,C,C
99.134,C,C
130.6895,C,C
96.958,C,C
140.511,C,C
80.2575,C,C
106.2775,C,C
81.735,C,C
74.1405,C,C
120.2555,C,C
75.165,C,C
54.772,C,C
52.542,C,C
149.7315,C,C
49.9855,C,M
71.467,C,M
77.0435,C,M
115.402,C,M
47.768,C,M
96.725,C,M
74.04,C,M
77.2355,C,M
123.838,C,M
73.0455,C,M
113.3665,C,M
53.301,C,M
48.3735,C,M
121.2355,C,M
140.2465,C,M
100.1625,C,M
84.4215,C,M
121.888,C,M
26.6215,C,M
136.546,C,M
82.8825,C,M
45.774,C,M
43.7925,C,M
42.055,C,M
30.8485,C,M
52.312,C,M
57.5705,C,M
96.813,C,M
100.2985,C,M
56.478,C,M
41.837,M,C
112.314,M,C
94.077,M,C
143.076,M,C
43.456,M,C
42.968,M,C
54.433,M,C
55.408,M,C
131.2605,M,C
101.717,M,C
126.18,M,C
66.495,M,C
110.763,M,C
86.855,M,C
129.9955,M,C
127.4655,M,C
145.8995,M,C
96.352,M,C
84.143,M,C
120.55,M,C
40.611,M,C
109.9025,M,C
91.241,M,C
115.1885,M,C
97.8585,M,C
49.386,M,C
64.2875,M,C
97.7985,M,C
126.924,M,C
92.272,M,C
87.724,M,M
121.754,M,M
128.4795,M,M
88.0385,M,M
49.371,M,M
81.4685,M,M
109.672,M,M
105.94,M,M
107.169,M,M
106.0015,M,M
118.277,M,M
58.0125,M,M
132.4235,M,M
110.547,M,M
108.877,M,M
65.892,M,M
109.4815,M,M
116.096,M,M
100.0355,M,M
86.7,M,M
120.6275,M,M
82.754,M,M
99.9415,M,M
95.917,M,M
98.558,M,M
41.2075,M,M
61.8895,M,M
117.985,M,M
88.9295,M,M
72.4415,M,M
